ID|CourseName|Instructor|Credit|Pre-requisite|Reference
VM541|Mechanical Vibrations||3|Vm440 Intermediate Dynamics and Vibration|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=365
VE488|Data Mining and Machine Learning||4|Vv 214/Vv 286 and Ve 401|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=448
VE552|Fiber Optics and Biomedical Optics||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=319
VM543|Analytical Dynamics||3|Vm440 Intermediate Dynamics and Vibration|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=366
VE489|Computer Networks||4|Ve482 or Graduate Standing or instructor’s permission.|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=449
VE554|Introduction to Digital Communication and Coding||3|Ve216 and Ve401|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=320
VM551|Mechanisms Design||3|Vm350 Design and Manufacturing II|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=373
VE490|Undergraduate Research||3|junior standing and up|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=450
VE555|Digital Communication Theory||3|Ve455 Introduction to Digital Communication and Coding|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=321
VM552|Mechatronic System Design||3|Vm360 and Vm461|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=374
VE492|Introduction to Artificial Intelligence||4|Ve 281|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=451
VE556|Image Processing||3|Ve551 Mathematical Methods for Signal Processing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=322
VM553|Simulation of a Mechatronic Machine||3|Vm440 Intermediate Dynamics and Vibration|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=375
VE496|Advanced Technical Communication||2|Ve300, must be taken concurrently with a Major Design Experience course or Capstone Design course(Ve450).|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=452
VE559|Advanced Signal Processing||3|Ve551 Mathematical Methods for Signal Processing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=323
VM554|Computer Aided Design Methods||3|Vm350 Design and Manufacturing II|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=376
VE498|Special Topics||1|Permission of instructor.|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=453
VE560|Linear Systems||3|Vm461 or Ve460 (NB: Course for graduate programs, but open to undergraduate students as well)|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=324
